"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
159,"Izoblok","-6300.24","-3676.47","-0.04","-0.01","-1318.49","manufacturing industry",0,"low"
160,"Izolacja-Jarocin","192.00","-563.00","0.08","0.06","359.00","real estate and construction",0,"middle"
161,"Izostal","8266.00","-18588.00","3.10","1.10","25356.00","real estate and construction",1,"low"
162,"JSW","-1363500.00","-115900.00","-0.76","-0.37","-1226800.00","manufacturing industry",0,"low"
163,"JRH","12282.09","-904.56","-0.18","-0.13","15982.57","financial and insurance",0,"middle"
164,"JWW","167.00","-6621.00","0.13","0.06","1165.00","manufacturing industry",0,"middle"
165,"KCI","-3405.00","-923.00","-0.04","-0.04","-2668.00","communication technologies and media",0,"low"
166,"Kernel","217906.00","-261052.00","10.60","6.60","397667.00","agriculture and food industry",1,"high"
167,"KGHM","579000.00","-349000.00","1.80","1.00","2150000.00","manufacturing industry",1,"high"
168,"KGL","-479.00","-1642.00","-0.06","-0.02","9046.00","chemicals and health products",0,"middle"
169,"Komputronik","-15918.00","-14761.00","-0.06","-0.03","11083.00","technology and engineering",1,"low"
170,"KPPD","-10001.00","2547.00","-10.00","-5.60","1417.00","manufacturing industry",1,"low"
171,"Krakchemia","-2587.00","-54.00",NULL,"-0.73","-738.00","chemicals and health products",0,"middle"
172,"KRKA","245844.00","188764.00","9.90","7.80","303254.00","chemicals and health products",1,"high"
173,"Kruk","584018.00","51340.00","12.30","4.80","835227.00","real estate and construction",1,"high"
174,"Krynica Vitamin","924.00","-167.00","0.16","0.06","4403.00","agriculture and food industry",0,"middle"
175,"KSG Argo","157.00","-271.00","3.10","0.50","1040.00","agriculture and food industry",1,"low"
176,"LARQ","2294.23","-151.38","-0.10","-0.08","-97.53","communication technologies and media",0,"middle"
177,"LC","126.00","-932.00","0.06","0.04","232.00","manufacturing industry",0,"middle"
178,"Lena Lighting","95.00","-416.00","0.02","0.02","2005.00","manufacturing industry",0,"middle"
179,"Lentex","7680.00","-11702.00","3.10","1.70","17177.00","commercial services",1,"middle"
180,"Less","-415.00","147.00",NULL,"-0.38","-292.00","consumer goods and e-commerce",0,"low"
181,"Libet","-3641.39","-4452.48","-3.40","-2.70","1801.80","real estate and construction",1,"low"
182,"Lokum","33157.00","66204.00","0.09","0.06","45099.00","real estate and construction",0,"high"
